ID_Viaje,Hora_inicio,Hora_fin,N_pasajeros,Distancia_KM,Forma_de_pago,Tarfia_base,Extra,Tax,Propina,Coste_Peaje,Recargo_adicional,Importe_total,Zona_origen,Zona_destino
1,01/01/2025 0:18,01/01/2025 0:26,1,1.6,1,10.0,3.5,0.5,3.0,0.0,1,18.0,Sutton Place/Turtle Bay North,Upper East Side South
2,01/01/2025 0:32,01/01/2025 0:35,1,0.5,1,5.1,3.5,0.5,2.02,0.0,1,12.12,Upper East Side North,Upper East Side South
3,01/01/2025 0:44,01/01/2025 0:46,1,0.6,1,5.1,3.5,0.5,2.0,0.0,1,12.1,Lenox Hill West,Lenox Hill West
4,01/01/2025 0:14,01/01/2025 0:20,3,0.52,2,7.2,1.0,0.5,0.0,0.0,1,9.7,Washington Heights South,Washington Heights South
5,01/01/2025 0:21,01/01/2025 0:25,3,0.66,2,5.8,1.0,0.5,0.0,0.0,1,8.3,Washington Heights South,Hamilton Heights
6,01/01/2025 0:48,01/01/2025 1:08,2,2.63,2,19.1,1.0,0.5,0.0,0.0,1,24.1,Upper West Side South,East Chelsea
7,01/01/2025 0:14,01/01/2025 0:16,0,0.4,1,4.4,3.5,0.5,2.35,0.0,1,11.75,Murray Hill,Murray Hill
8,01/01/2025 0:39,01/01/2025 0:51,0,1.6,1,12.1,3.5,0.5,2.0,0.0,1,19.1,Union Sq,Lower East Side
9,01/01/2025 0:53,01/01/2025 1:13,0,2.8,1,19.1,3.5,0.5,3.0,0.0,1,27.1,Lower East Side,Murray Hill
10,01/01/2025 0:00,01/01/2025 0:09,1,1.71,2,11.4,1.0,0.5,0.0,0.0,1,16.4,Upper East Side South,Yorkville East
11,01/01/2025 0:20,01/01/2025 0:28,1,2.29,2,11.4,1.0,0.5,0.0,0.0,1,16.4,Upper East Side South,East Harlem South
12,01/01/2025 0:33,01/01/2025 0:37,1,0.56,1,5.8,1.0,0.5,2.16,0.0,1,12.96,Yorkville West,Upper East Side North
13,01/01/2025 0:42,01/01/2025 0:55,3,1.99,2,14.2,1.0,0.5,0.0,0.0,1,19.2,Upper East Side North,Manhattan Valley
14,01/01/2025 0:30,01/01/2025 0:36,1,1.1,2,7.9,3.5,0.5,0.0,0.0,1,12.9,Sutton Place/Turtle Bay North,Lenox Hill West
15,01/01/2025 0:39,01/01/2025 1:13,1,3.2,1,26.1,3.5,0.5,7.8,0.0,1,38.9,Lenox Hill West,Greenwich Village North
16,01/01/2025 0:16,01/01/2025 0:35,3,2.5,2,17.7,3.5,0.5,0.0,0.0,1,22.7,Meatpacking/West Village West,Murray Hill
17,01/01/2025 0:43,01/01/2025 1:00,1,1.9,1,16.3,3.5,0.5,4.25,0.0,1,25.55,Midtown South,Sutton Place/Turtle Bay North
18,01/01/2025 0:01,01/01/2025 0:07,1,0.71,2,-7.2,-1.0,-0.5,3.66,0.0,-1,-8.54,East Village,Gramercy
19,01/01/2025 0:01,01/01/2025 0:07,1,0.71,2,7.2,1.0,0.5,0.0,0.0,1,12.2,East Village,Gramercy
20,01/01/2025 0:33,01/01/2025 0:50,2,1.2,1,15.6,3.5,0.5,0.0,0.0,1,20.6,West Chelsea/Hudson Yards,Flatiron
21,01/01/2025 0:05,01/01/2025 0:20,2,3.45,1,17.7,1.0,0.5,4.54,0.0,1,27.24,Yorkville West,Gramercy
22,01/01/2025 0:34,01/01/2025 0:51,2,1.19,1,14.9,1.0,0.5,3.98,0.0,1,23.88,West Chelsea/Hudson Yards,Murray Hill
23,01/01/2025 0:55,01/01/2025 1:00,1,0.69,4,-6.5,-1.0,-0.5,0.0,0.0,-1,-11.5,Kips Bay,UN/Turtle Bay South
24,01/01/2025 0:55,01/01/2025 1:00,1,0.69,4,6.5,1.0,0.5,0.0,0.0,1,11.5,Kips Bay,UN/Turtle Bay South
25,01/01/2025 0:17,01/01/2025 0:22,1,1.0,1,7.2,3.5,0.5,1.83,0.0,1,14.03,Lincoln Square East,Upper East Side South
